#Frequency (Hz), S21re (), S21im (), S21dB (dB), S21Ph (rad), Power (dBm), Temperature (K), Power (K)
8.0865000000e+09, 4.3519960000e-02, -2.5896580000e-02, -2.5909770135e+01, -5.3677231648e-01, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0865500000e+09, 4.2526270000e-02, -2.6859910000e-02, -2.5968900522e+01, -5.6333665398e-01, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0866000000e+09, 4.2446780000e-02, -2.8132540000e-02, -2.5861691890e+01, -5.8530149160e-01, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0866500000e+09, 4.1461770000e-02, -2.8729390000e-02, -2.5944050170e+01, -6.0595358194e-01, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0867000000e+09, 4.1237730000e-02, -2.9376990000e-02, -2.5911568663e+01, -6.1898735559e-01, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0867500000e+09, 4.0516360000e-02, -3.0289940000e-02, -2.5919202285e+01, -6.4196190191e-01, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0868000000e+09, 4.0026360000e-02, -3.0945870000e-02, -2.5918013684e+01, -6.5814525573e-01, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0868500000e+09, 3.9339730000e-02, -3.1868620000e-02, -2.5912135583e+01, -6.8086160751e-01, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0869000000e+09, 3.8445300000e-02, -3.2955220000e-02, -2.5910671386e+01, -7.0865784555e-01, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0869500000e+09, 3.7904520000e-02, -3.3220330000e-02, -2.5951076470e+01, -7.1963443640e-01, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0870000000e+09, 3.6826580000e-02, -3.4220310000e-02, -2.5973558141e+01, -7.4873080391e-01, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0870500000e+09, 3.6874180000e-02, -3.4783440000e-02, -2.5901356850e+01, -7.5622963909e-01, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0871000000e+09, 3.5615760000e-02, -3.5760660000e-02, -2.5939186830e+01, -7.8742824281e-01, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0871500000e+09, 3.5069460000e-02, -3.5806660000e-02, -2.5999831441e+01, -7.9579903490e-01, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0872000000e+09, 3.4287640000e-02, -3.6960750000e-02, -2.5948689965e+01, -8.2289875566e-01, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0872500000e+09, 3.3609530000e-02, -3.7907710000e-02, -2.5906426588e+01, -8.4542587389e-01, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0873000000e+09, 3.3245120000e-02, -3.8417810000e-02, -2.5881840425e+01, -8.5745403126e-01, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0873500000e+09, 3.2236850000e-02, -3.8865890000e-02, -2.5934986688e+01, -8.7836128438e-01, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0874000000e+09, 3.0871580000e-02, -3.9331040000e-02, -2.6020625695e+01, -9.0532058429e-01, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0874500000e+09, 3.0600900000e-02, -4.0101510000e-02, -2.5943896620e+01, -9.1897266131e-01, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0875000000e+09, 2.9549040000e-02, -4.1218390000e-02, -2.5897119076e+01, -9.4882469056e-01, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0875500000e+09, 2.8911070000e-02, -4.1102810000e-02, -2.5976885762e+01, -9.5780264976e-01, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0876000000e+09, 2.7792630000e-02, -4.1559520000e-02, -2.6021253167e+01, -9.8135777330e-01, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0876500000e+09, 2.7307510000e-02, -4.1962960000e-02, -2.6009166775e+01, -9.9389214131e-01, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0877000000e+09, 2.6399490000e-02, -4.2915660000e-02, -2.5953908502e+01, -1.0193128565e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0877500000e+09, 2.5698640000e-02, -4.3301630000e-02, -2.5959447339e+01, -1.0351849313e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0878000000e+09, 2.4975560000e-02, -4.3274080000e-02, -2.6026815470e+01, -1.0473490709e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0878500000e+09, 2.4076440000e-02, -4.4494510000e-02, -2.5918556607e+01, -1.0748037902e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0879000000e+09, 2.2955050000e-02, -4.4674350000e-02, -2.5981289065e+01, -1.0961455222e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0879500000e+09, 2.1869570000e-02, -4.5411550000e-02, -2.5950830290e+01, -1.1219880790e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0880000000e+09, 2.0730520000e-02, -4.5747790000e-02, -2.5981490693e+01, -1.1453275993e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0880500000e+09, 2.0337430000e-02, -4.5925810000e-02, -2.5981187127e+01, -1.1539190638e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0881000000e+09, 1.9952720000e-02, -4.6316420000e-02, -2.5945986867e+01, -1.1640304724e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0881500000e+09, 1.8329330000e-02, -4.7040190000e-02, -2.5936738154e+01, -1.1992418679e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0882000000e+09, 1.7404880000e-02, -4.6990830000e-02, -2.6001415347e+01, -1.2160744147e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0882500000e+09, 1.6678360000e-02, -4.7004270000e-02, -2.6042248482e+01, -1.2298282291e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0883000000e+09, 1.5396930000e-02, -4.7774540000e-02, -2.5986904421e+01, -1.2590236703e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
8.0883500000e+09, 1.4637540000e-02, -4.7909900000e-02, -2.6003927090e+01, -1.2742809880e+00, 0.0000000000e+00, 1.4539000000e-02, 0.0000000000e+00
